Table 1
Table W-11. Nonpayroll Residential Remodeling Contractors by Annual Receipts: 2012,,,,,,
,,,,,,
,"$25,000–
49,999","$50,000–
99,999","$100,000–
199,999","$200,000–
299,999","$300,000 
and Over",Total 
,,,,,,
General Building Contractors,"70,809","49,722","32,708","12,423","17,069","182,732"
,,,,,,
Special Trade Contractors,"142,687","90,565","51,371","12,976","10,844","308,443"
,,,,,,
"Concrete, Structural Steel and Foundation",643,928,658,128,133,"2,490"
,,,,,,
Framing,"5,413","2,088","1,037",310,332,"9,180"
,,,,,,
Masonry,"4,125","2,637","1,064",292,294,"8,411"
,,,,,,
Glass and Glazing,"1,981","1,205","1,243",261,280,"4,970"
,,,,,,
Roofing,"7,930","5,593","4,043","1,659","1,968","21,193"
,,,,,,
Siding,"2,661","2,004","1,184",407,303,"6,559"
,,,,,,
"Electrical, Plumbing and HVAC","28,111","21,874","14,219","3,895","2,299","70,399"
,,,,,,
Drywall and Insulation,"6,774","2,946","1,746",346,296,"12,108"
,,,,,,
Painting and Wall Covering,"27,433","16,919","7,061","1,515","1,266","54,195"
,,,,,,
Flooring and Tile,"23,488","16,239","7,610","1,781","1,627","50,743"
,,,,,,
Finish Carpentry and Other Finishing,"21,752","13,134","6,623","1,565","1,280","44,353"
,,,,,,
Site Prep and Other,"12,376","4,998","4,884",815,768,"23,841"
,,,,,,
All Contractors,"213,496","140,288","84,078","25,399","27,913","491,175"
,,,,,,
"Notes: The Economic Census does not report on nonpayroll businesses. JCHS estimates are based on the assumption that the distribution of nonpayroll businesses is comparable to that of payroll establishments by revenue size category. The residential remodeling share of all construction payroll establishments was calculated and these shares were applied to nonpayroll businesses within each of the revenue categories to estimate the number of nonpayroll remodeling businesses. The estimate of 491,000 nonpayroll remodelers was calculated by eliminating the 640,000 nonpayroll remodelers who reported less than $25,000 in gross receipts in 2012. Our procedures thus generate a conservative estimate of the number of businesses concentrating their activities in residential remodeling.",,,,,,
"Source: JCHS estimates using unpublished tabultions from US Census Bureau, 2012 Economic Census of Construction and Nonemployer Statistics.",,,,,,
