Table 1
"Table W-12.  Residential Remodeling Contractor Establishments: 2002, 2007 and 2012",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Payroll,,,,,,Nonpayroll,,,,,,All,,,,,
,Number (000s),,,Percent Change,,,Number (000s),,,Percent Change,,,Number (000s),,,Percent Change,,
,2002,2007,2012,2002-7,2007-12,2002-12,2002,2007,2012,2002-7,2007-12,2002-12,2002,2007,2012,2002-7,2007-12,2002-12
,,,,,,,,,,,,,,,,,,
General Building Contractors ,82.9,77.9,80.3,-6.0,3.1,-3.1,127.2,156.7,182.7,23.1,16.6,43.6,210.1,234.5,263.0,11.7,12.1,25.2
,,,,,,,,,,,,,,,,,,
Special Trade Contractors,117.2,139.5,144.6,19.1,3.6,23.4,202.9,278.1,308.4,37.1,10.9,52.0,320.1,417.7,453.0,30.5,8.5,41.5
,,,,,,,,,,,,,,,,,,
"Concrete, Structural Steel and Foundation",4.0,4.7,3.1,16.2,-33.8,-23.0,2.9,3.9,2.5,34.1,-35.4,-13.3,6.9,8.5,5.6,23.6,-34.5,-19.0
,,,,,,,,,,,,,,,,,,
Framing,2.2,3.1,2.8,41.5,-9.4,28.2,3.9,7.5,9.2,92.3,22.6,135.7,6.1,10.6,12.0,74.0,13.2,96.9
,,,,,,,,,,,,,,,,,,
Masonry,4.0,4.3,4.5,6.8,5.0,12.2,5.1,6.5,8.4,27.7,29.8,65.8,9.1,10.7,12.9,18.5,20.0,42.2
,,,,,,,,,,,,,,,,,,
Glass and Glazing,1.4,1.7,1.8,17.0,5.5,23.5,2.4,4.1,5.0,69.1,22.5,107.1,3.8,5.7,6.7,49.6,17.5,75.8
,,,,,,,,,,,,,,,,,,
Roofing,11.2,10.0,10.6,-10.7,5.5,-5.8,12.3,18.6,21.2,51.3,13.7,72.1,23.6,28.7,31.8,21.7,10.9,34.9
,,,,,,,,,,,,,,,,,,
Siding,3.1,5.1,4.4,60.8,-12.3,41.1,8.7,7.8,6.6,-10.4,-16.0,-24.7,11.9,12.9,11.0,8.5,-14.5,-7.3
,,,,,,,,,,,,,,,,,,
"Electrical, Plumbing and HVAC",44.4,56.4,61.9,27.0,9.7,39.4,38.5,57.7,70.4,49.7,22.1,82.8,82.9,114.0,132.3,37.6,16.0,59.6
,,,,,,,,,,,,,,,,,,
Drywall and Insulation,2.3,4.7,4.4,106.7,-7.5,91.3,4.9,13.3,12.1,173.7,-9.3,148.4,7.2,18.1,16.5,152.3,-8.8,130.1
,,,,,,,,,,,,,,,,,,
Painting and Wall Covering,16.6,16.9,17.1,1.6,1.4,3.0,44.1,57.2,54.2,29.8,-5.3,22.9,60.7,74.1,71.3,22.1,-3.8,17.5
,,,,,,,,,,,,,,,,,,
Flooring and Tile,8.7,11.3,10.7,28.7,-5.3,21.9,33.9,43.3,50.7,27.6,17.1,49.5,42.7,54.6,61.4,27.8,12.5,43.8
,,,,,,,,,,,,,,,,,,
Finish Carpentry and Other Finishing,16.1,17.9,19.7,10.9,10.0,22.1,36.8,37.1,44.4,0.8,19.5,20.5,52.9,55.0,64.0,3.9,16.4,21.0
,,,,,,,,,,,,,,,,,,
Site Prep and Other,3.0,3.5,3.7,18.9,3.9,23.6,9.4,21.1,23.8,125.7,12.8,154.5,12.4,24.7,27.5,99.9,11.5,122.9
,,,,,,,,,,,,,,,,,,
All Contractors,200.0,217.4,224.9,8.7,3.5,12.4,330.1,434.8,491.2,31.7,13.0,48.8,530.1,652.2,716.1,23.0,9.8,35.1
,,,,,,,,,,,,,,,,,,
"Source: JCHS estimates using unpublished tabulations from US Census Bureau, Economic Censuses of Construction and Nonemployer Statistics.",,,,,,,,,,,,,,,,,,
