Table 1
Table W-2. Professional Home Improvement Expenditures: 1995-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,,,1997,,,1999,,,2001,,,2003,,,2005,,,2007,,,2009,,,2011,,,2013,,,2015,,
,Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)","Total 
Expenditures (Millions of 
2015 $)",Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)","Total 
Expenditures (Millions of 
2015 $)",Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)","Total 
Expenditures (Millions of 
2015 $)",Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)","Total 
Expenditures (Millions of 
2015 $)",Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)","Total 
Expenditures (Millions of 
2015 $)",Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)","Total 
Expenditures (Millions of 
2015 $)",Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)","Total 
Expenditures (Millions of 
2015 $)",Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)","Total 
Expenditures (Millions of 
2015 $)",Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)","Total 
Expenditures (Millions of 
2015 $)",Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)","Total 
Expenditures (Millions of 
2015 $)",Homeowners Reporting Projects (000s),"Average
Expenditure
($)",Total Expenditures (Millions of $)
DISCRETIONARY*,"2,930","11,786","34,526","2,529","14,631","37,006","2,571","14,821","38,100","2,599","18,267","47,470","2,461","19,155","47,142","2,932","23,737","69,602","3,737","21,041","78,637","3,247","18,243","59,227","3,370","13,860","46,712","3,442","14,702","50,608","3,615","15,243","55,108"
Kitchen Remodels,"1,160","6,183","7,172","1,030","7,117","7,332",871,"10,060","8,766",936,"12,182","11,405",919,"11,045","10,156","1,133","14,588","16,533","1,323","16,713","22,117","1,101","14,333","15,779","1,091","13,538","14,766","1,061","12,220","12,968","1,297","13,610","17,654"
Minor ,947,"2,657","2,515",811,"2,726","2,210",618,"3,981","2,461",611,"3,868","2,363",613,"3,253","1,993",701,"3,746","2,625",717,"4,127","2,958",619,"3,908","2,417",651,"4,805","3,130",665,"4,299","2,858",748,"4,269","3,192"
Major ,213,"21,833","4,657",219,"23,342","5,122",253,"24,908","6,305",325,"27,785","9,042",307,"26,605","8,163",433,"32,155","13,907",606,"31,590","19,159",482,"27,701","13,362",439,"26,486","11,636",396,"25,504","10,110",549,"26,321","14,463"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Remodels,998,"4,745","4,734",870,"4,918","4,279",938,"5,688","5,334","1,053","6,418","6,759",943,"6,836","6,446","1,132","9,450","10,698","1,369","9,172","12,561","1,220","7,473","9,120","1,294","6,938","8,981","1,336","6,978","9,321","1,707","8,511","14,525"
Minor ,765,"1,461","1,117",613,"1,601",982,647,"2,108","1,363",682,"1,985","1,355",570,"1,897","1,081",660,"2,105","1,390",738,"2,170","1,602",648,"2,018","1,308",765,"2,295","1,755",711,"2,325","1,653",833,"2,187","1,821"
Major ,233,"15,532","3,617",257,"12,828","3,297",291,"13,639","3,971",371,"14,583","5,404",373,"14,380","5,365",472,"19,730","9,307",631,"17,366","10,959",573,"13,645","7,812",529,"13,648","7,226",625,"12,271","7,668",874,"14,539","12,704"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
