Table 1
Table W-3. Do-It-Yourself Home Improvement Expenditures: 1995-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,,,1997,,,1999,,,2001,,,2003,,,2005,,,2007,,,2009,,,2011,,,2013,,,2015,,
,Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)","Total 
Expenditures (Millions of 
2015 $)",Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)","Total 
Expenditures (Millions of 
2015 $)",Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)","Total 
Expenditures (Millions of 
2015 $)",Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)","Total 
Expenditures (Millions of 
2015 $)",Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)","Total 
Expenditures (Millions of 
2015 $)",Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)","Total 
Expenditures (Millions of 
2015 $)",Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)","Total 
Expenditures (Millions of 
2015 $)",Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)","Total 
Expenditures (Millions of 
2015 $)",Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)","Total 
Expenditures (Millions of 
2015 $)",Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)","Total 
Expenditures (Millions of 
2015 $)",Homeowners Reporting Projects (000s),"Average
Expenditure
($)",Total Expenditures (Millions of $)
DISCRETIONARY*,"3,634","4,371","15,886","3,294","5,759","18,970","3,086","5,798","17,894","3,075","6,268","19,274","3,237","7,185","23,253","3,290","7,961","26,191","3,748","6,921","25,940","3,429","5,458","18,713","3,023","4,798","14,504","2,816","5,478","15,429","3,222","5,311","17,109"
Kitchen Remodels,"1,179","2,656","3,131","1,039","3,786","3,933",855,"4,824","4,126",895,"6,541","5,857","1,008","5,719","5,766","1,064","6,788","7,221","1,094","6,906","7,556",927,"5,970","5,534",786,"5,539","4,352",755,"6,669","5,036","1,073","6,158","6,608"
Minor ,941,"1,052",990,833,"1,048",873,560,"1,457",816,534,"1,312",701,670,"1,465",982,640,"1,491",955,633,"1,627","1,029",530,"1,367",725,469,"1,585",744,391,"1,729",676,610,"1,677","1,022"
Major ,238,"8,989","2,141",206,"14,864","3,060",295,"11,216","3,310",361,"14,272","5,156",338,"14,149","4,784",423,"14,799","6,266",461,"14,143","6,526",397,"12,124","4,809",316,"11,405","3,609",364,"11,973","4,360",463,"12,057","5,585"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Remodels,"1,475","1,478","2,180","1,382","3,152","4,357","1,139","2,266","2,581","1,160","2,532","2,938","1,320","2,588","3,417","1,364","3,570","4,870","1,419","3,147","4,465","1,326","2,579","3,420","1,205","2,784","3,356","1,117","2,779","3,105","1,568","3,015","4,727"
Minor ,"1,185",625,740,"1,075",657,706,797,779,621,770,770,593,920,881,810,864,837,724,818,813,665,731,795,580,705,869,612,640,859,549,882,844,744
Major ,290,"4,970","1,440",308,"11,871","3,651",342,"5,736","1,960",390,"6,010","2,346",401,"6,504","2,607",500,"8,294","4,146",601,"6,326","3,799",596,"4,768","2,840",501,"5,482","2,744",477,"5,355","2,555",686,"5,807","3,983"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Room Additions,"1,320","6,434","8,492","1,162","7,712","8,961","1,167","7,526","8,783","1,121","7,702","8,631","1,175","9,428","11,074","1,130","10,634","12,017","1,205","9,276","11,174","1,078","6,999","7,545",879,"5,167","4,542",791,"6,863","5,427",417,"6,968","2,903"
Kitchen ,178,"5,048",896,144,"6,879",991,16,"13,255",216,15,"21,846",336,12,"4,893",57,14,"28,335",409,20,"27,424",540,15,"7,745",115,6,"14,395",93,7,"15,098",112,32,"6,801",220
Bath ,300,"8,623","2,586",278,"9,732","2,703",196,"4,417",867,203,"6,807","1,381",213,"4,210",896,207,"4,999","1,037",191,"4,637",887,220,"3,387",745,155,"3,916",607,153,"4,224",645,70,"4,479",315
Bedroom ,398,"3,587","1,427",335,"4,960","1,664",399,"6,605","2,635",364,"8,559","3,119",394,"12,472","4,912",378,"8,137","3,074",416,"8,596","3,575",314,"8,796","2,764",291,"5,109","1,484",254,"6,590","1,673",129,"8,365","1,075"
Other ,834,"4,295","3,582",722,"4,991","3,604",832,"6,086","5,065",789,"4,811","3,796",835,"6,242","5,210",804,"9,329","7,497",850,"7,265","6,172",740,"5,302","3,921",586,"4,024","2,358",557,"5,384","2,998",269,"4,816","1,293"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outside Attachments*,749,"2,782","2,083",676,"2,541","1,719",748,"3,216","2,404",646,"2,861","1,848",609,"4,921","2,996",580,"3,593","2,084","1,083","2,537","2,746","1,002","2,209","2,213",929,"2,425","2,253",768,"2,422","1,860",937,"3,064","2,871"
"Porch, deck, patio or terrace*†",648,"2,201","1,427",602,"1,952","1,175",649,"2,214","1,436",552,"2,346","1,296",526,"2,648","1,394",517,"2,797","1,447","1,016","1,952","1,983",944,"2,060","1,944",865,"2,213","1,914",738,"2,395","1,768",830,"2,507","2,082"
Garage or carport,110,"5,993",656,84,"6,486",543,106,"9,142",968,105,"5,259",552,98,"16,283","1,602",70,"9,074",637,86,"8,874",763,62,"4,324",269,73,"4,657",339,34,"2,723",93,157,"5,025",789
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPLACEMENTS*,"7,011","1,261","8,839","7,022","1,368","9,603","7,771","1,628","12,648","8,285","1,607","13,313","7,811","2,054","16,042","8,350","2,398","20,026","8,585","2,223","19,088","8,567","1,715","14,697","8,374","1,773","14,850","7,848","1,792","14,059","8,344","2,125","17,728"
Exterior*,"2,455","1,639","4,023","2,324","1,709","3,971","2,576","1,996","5,142","2,684","1,830","4,911","2,401","2,729","6,553","2,545","2,729","6,947","2,656","2,470","6,559","2,530","2,045","5,174","2,362","2,307","5,450","2,065","2,274","4,697","2,410","2,790","6,725"
Roofing,461,"2,473","1,140",527,"2,780","1,464",926,"2,312","2,142",856,"2,400","2,054",729,"3,477","2,534",814,"2,941","2,394",680,"3,025","2,057",692,"2,576","1,784",673,"3,055","2,055",573,"3,302","1,892",745,"4,024","2,999"
Siding,305,"2,780",847,354,"2,803",993,413,"2,400",991,357,"2,111",753,368,"3,899","1,435",400,"3,188","1,274",429,"3,264","1,401",367,"1,915",703,367,"2,009",738,275,"1,661",457,333,"2,677",892
Windows or doors,"1,939","1,050","2,036","1,723",879,"1,514","1,659","1,211","2,009","1,886","1,116","2,104","1,684","1,534","2,584","1,740","1,885","3,279","1,878","1,482","2,782","1,760","1,247","2,193","1,571","1,265","1,987","1,386","1,474","2,043","1,555","1,663","2,586"
"Chimney, stairs or other exterior††",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,"2,973",319,100,"4,952",494,107,"6,235",670,96,"3,188",304,248,"1,000",248
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interior Additions & Replacements,"2,666",820,"2,186","2,716",973,"2,642","3,534","1,138","4,022","3,780","1,182","4,468","3,725","1,402","5,225","4,119","1,896","7,807","4,151","1,735","7,205","3,974","1,279","5,084","3,837","1,245","4,777","3,217","1,475","4,745","3,013","1,524","4,592"
Insulation,819,400,327,724,360,261,744,770,573,822,804,660,656,628,412,734,"1,865","1,369",915,937,858,967,625,605,"1,014",589,597,624,581,363,833,744,620
"Carpeting, flooring, paneling or ceiling tiles","1,730",816,"1,411","1,869","1,030","1,924","2,915","1,005","2,929","3,036","1,039","3,156","3,283","1,327","4,357","3,530","1,540","5,434","3,473","1,450","5,035","3,326","1,157","3,849","3,112","1,221","3,801","2,737","1,346","3,686","2,409","1,497","3,607"
Other major improvements inside home,446,"1,005",448,407,"1,123",457,320,"1,627",520,370,"1,760",652,266,"1,711",455,349,"2,874","1,003",334,"3,932","1,312",326,"1,935",630,234,"1,620",379,253,"2,750",696,182,"2,007",366
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
