Table 1
Table W-4.  Improvement Expenditures by Homeowner Characteristics: 1995-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,,,,,1997,,,,,1999,,,,,2001,,,,,2003,,,,,2005,,,,,2007,,,,,2009,,,,,2011,,,,,2013,,,,,2015,,,,,,,
,No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)",Total Expenditures (Millions of 2015 $),"Share of 
Total 
Expenditure",No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)",Total Expenditures (Millions of 2015 $),"Share of 
Total 
Expenditure",No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)",Total Expenditures (Millions of 2015 $),"Share of 
Total 
Expenditure",No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)",Total Expenditures (Millions of 2015 $),"Share of 
Total 
Expenditure",No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)",Total Expenditures (Millions of 2015 $),"Share of 
Total 
Expenditure",No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)",Total Expenditures (Millions of 2015 $),"Share of 
Total 
Expenditure",No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)",Total Expenditures (Millions of 2015 $),"Share of 
Total 
Expenditure",No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)",Total Expenditures (Millions of 2015 $),"Share of 
Total 
Expenditure",No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)",Total Expenditures (Millions of 2015 $),"Share of 
Total 
Expenditure",No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)",Total Expenditures (Millions of 2015 $),"Share of 
Total 
Expenditure",No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
($)",Total Expenditures (Millions of $),"Share of 
Total 
Expenditure",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"63,544","18,890","7,171","135,455",100.0%,"65,487","18,808","7,748","145,729",100.0%,"68,796","19,633","8,014","157,332",100.0%,"72,365","20,670","8,731","180,478",100.0%,"72,258","19,357","9,159","177,284",100.0%,"74,942","20,895","11,451","239,270",100.0%,"75,645","21,734","11,596","252,030",100.0%,"76,465","21,477","9,002","193,333",100.0%,"76,209","21,887","8,787","192,314",100.0%,"75,650","21,769","9,234","201,011",100.0%,"74,360","21,937","10,080","221,132",100.0%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income (2015 dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Under $40,000","20,126","5,129","4,488","23,020",17.0%,"20,814","5,190","4,718","24,489",16.8%,"20,662","5,018","5,125","25,716",16.3%,"21,353","5,113","5,223","26,705",14.8%,"21,689","4,872","5,367","26,147",14.7%,"21,946","5,048","7,994","40,356",16.9%,"21,842","5,224","6,501","33,963",13.5%,"22,958","5,585","5,684","31,743",16.4%,"24,492","6,096","5,565","33,926",17.6%,"24,513","6,048","5,871","35,503",17.7%,"21,880","5,473","6,554","35,867",16.2%,,,
"$40-79,999","20,153","6,108","6,166","37,663",27.8%,"19,458","5,764","6,086","35,078",24.1%,"20,647","5,884","6,325","37,220",23.7%,"20,614","5,949","7,071","42,068",23.3%,"21,016","5,618","6,347","35,656",20.1%,"22,940","6,409","7,606","48,741",20.4%,"21,778","6,272","8,275","51,895",20.6%,"22,470","6,304","6,860","43,248",22.4%,"22,975","6,653","7,051","46,908",24.4%,"22,196","6,349","7,233","45,918",22.8%,"21,990","6,511","7,993","52,043",23.5%,,,
"$80-119,999","11,894","3,927","7,936","31,165",23.0%,"13,067","3,993","7,824","31,242",21.4%,"13,297","4,224","8,165","34,484",21.9%,"14,304","4,431","8,381","37,140",20.6%,"13,701","4,037","8,681","35,043",19.8%,"14,478","4,418","10,927","48,277",20.2%,"15,663","4,867","10,525","51,222",20.3%,"15,022","4,558","8,421","38,385",19.9%,"14,039","4,321","8,979","38,799",20.2%,"13,862","4,311","9,491","40,917",20.4%,"14,357","4,616","10,164","46,915",21.2%,,,
"$120,000 and Over","11,372","3,726","11,703","43,608",32.2%,"12,148","3,861","14,225","54,921",37.7%,"14,190","4,507","13,292","59,911",38.1%,"16,095","5,177","14,404","74,565",41.3%,"15,852","4,830","16,653","80,438",45.4%,"15,577","5,020","20,297","101,897",42.6%,"16,362","5,372","21,399","114,949",45.6%,"16,016","5,029","15,898","79,958",41.4%,"14,703","4,817","15,090","72,681",37.8%,"15,080","5,062","15,543","78,673",39.1%,"16,132","5,338","16,170","86,307",39.0%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
