Table 1
Table W-5.  Professional Improvement Expenditures by Homeowner Characteristics: 1995-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,,,,,1997,,,,,1999,,,,,2001,,,,,2003,,,,,2005,,,,,2007,,,,,2009,,,,,2011,,,,,2013,,,,,2015,,,,,,,,,,
,No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)",Total Expenditures (Millions of 2015 $),"Share of 
Total 
Expenditure",No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)",Total Expenditures (Millions of 2015 $),"Share of 
Total 
Expenditure",No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)",Total Expenditures (Millions of 2015 $),"Share of 
Total 
Expenditure",No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)",Total Expenditures (Millions of 2015 $),"Share of 
Total 
Expenditure",No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)",Total Expenditures (Millions of 2015 $),"Share of 
Total 
Expenditure",No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)",Total Expenditures (Millions of 2015 $),"Share of 
Total 
Expenditure",No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)",Total Expenditures (Millions of 2015 $),"Share of 
Total 
Expenditure",No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)",Total Expenditures (Millions of 2015 $),"Share of 
Total 
Expenditure",No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)",Total Expenditures (Millions of 2015 $),"Share of 
Total 
Expenditure",No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)",Total Expenditures (Millions of 2015 $),"Share of 
Total 
Expenditure",No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
($)",Total Expenditures (Millions of $),"Share of 
Total 
Expenditure",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"63,544","13,660","7,555","103,193",100.0%,"65,487","13,274","8,230","109,241",100.0%,"68,796","14,334","8,364","119,884",100.0%,"72,365","14,940","9,398","140,401",100.0%,"72,258","13,654","9,494","129,641",100.0%,"74,942","14,996","12,142","182,080",100.0%,"75,645","15,915","12,421","197,678",100.0%,"76,465","15,554","9,855","153,289",100.0%,"76,209","16,416","9,628","158,054",100.0%,"75,650","16,293","10,180","165,859",100.0%,"74,360","16,469","10,806","177,961",100.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income (2015 dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Under $40,000","20,126","3,812","4,819","18,369",17.8%,"20,814","3,800","5,118","19,447",17.8%,"20,662","3,687","5,349","19,719",16.4%,"21,353","3,664","5,801","21,255",15.1%,"21,689","3,465","5,779","20,023",15.4%,"21,946","3,584","8,775","31,451",17.3%,"21,842","3,807","6,556","24,957",12.6%,"22,958","4,066","6,009","24,429",15.9%,"24,492","4,468","6,151","27,482",17.4%,"24,513","4,417","6,628","29,275",17.7%,"21,880","4,039","7,006","28,299",15.9%,,,,,,
"$40-79,999","20,153","4,188","6,460","27,057",26.2%,"19,458","3,808","6,133","23,353",21.4%,"20,647","4,098","6,517","26,708",22.3%,"20,614","4,061","7,431","30,182",21.5%,"21,016","3,669","6,551","24,033",18.5%,"22,940","4,357","8,352","36,393",20.0%,"21,778","4,277","9,108","38,952",19.7%,"22,470","4,315","7,477","32,261",21.0%,"22,975","4,762","7,694","36,639",23.2%,"22,196","4,525","8,045","36,401",21.9%,"21,990","4,716","8,524","40,198",22.6%,,,,,,
"$80-119,999","11,894","2,745","7,990","21,930",21.3%,"13,067","2,691","8,126","21,869",20.0%,"13,297","2,972","8,129","24,163",20.2%,"14,304","3,130","8,817","27,598",19.7%,"13,701","2,795","8,830","24,675",19.0%,"14,478","3,074","11,684","35,914",19.7%,"15,663","3,473","10,637","36,945",18.7%,"15,022","3,197","8,950","28,617",18.7%,"14,039","3,215","9,737","31,301",19.8%,"13,862","3,156","10,266","32,398",19.5%,"14,357","3,363","11,094","37,313",21.0%,,,,,,
"$120,000 and Over","11,372","2,915","12,295","35,837",34.7%,"12,148","2,975","14,983","44,573",40.8%,"14,190","3,577","13,783","49,295",41.1%,"16,095","4,085","15,023","61,367",43.7%,"15,852","3,726","16,348","60,909",47.0%,"15,577","3,981","19,674","78,322",43.0%,"16,362","4,358","22,219","96,824",49.0%,"16,016","3,976","17,096","67,982",44.3%,"14,703","3,971","15,771","62,632",39.6%,"15,080","4,196","16,156","67,785",40.9%,"16,132","4,351","16,584","72,151",40.5%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
