Table 1
Table W-6.  Do-It-Yourself Improvement Expenditures by Homeowner Characteristics: 1995-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,,,,,1997,,,,,1999,,,,,2001,,,,,2003,,,,,2005,,,,,2007,,,,,2009,,,,,2011,,,,,2013,,,,,2015,,,,,,,,,,
,No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)",Total Expenditures (Millions of 2015 $),"Share of 
Total 
Expenditure",No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)",Total Expenditures (Millions of 2015 $),"Share of 
Total 
Expenditure",No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)",Total Expenditures (Millions of 2015 $),"Share of 
Total 
Expenditure",No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)",Total Expenditures (Millions of 2015 $),"Share of 
Total 
Expenditure",No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)",Total Expenditures (Millions of 2015 $),"Share of 
Total 
Expenditure",No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)",Total Expenditures (Millions of 2015 $),"Share of 
Total 
Expenditure",No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)",Total Expenditures (Millions of 2015 $),"Share of 
Total 
Expenditure",No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)",Total Expenditures (Millions of 2015 $),"Share of 
Total 
Expenditure",No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)",Total Expenditures (Millions of 2015 $),"Share of 
Total 
Expenditure",No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)",Total Expenditures (Millions of 2015 $),"Share of 
Total 
Expenditure",No. of Homeowners (000s),Homeowners Reporting Projects (000s),"Average
Expenditure
($)",Total Expenditures (Millions of $),"Share of 
Total 
Expenditure",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"63,544","10,310","3,129","32,262",100.0%,"65,487","9,932","3,674","36,488",100.0%,"68,796","10,263","3,649","37,447",100.0%,"72,365","10,798","3,712","40,078",100.0%,"72,258","10,243","4,651","47,643",100.0%,"74,942","10,839","5,276","57,190",100.0%,"75,645","10,877","4,997","54,352",100.0%,"76,465","10,797","3,709","40,043",100.0%,"76,209","10,352","3,310","34,260",100.0%,"75,650","9,836","3,574","35,152",100.0%,"74,360","11,154","3,870","43,171",100.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income (2015 dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Under $40,000","20,126","2,290","2,031","4,651",14.4%,"20,814","2,234","2,257","5,042",13.8%,"20,662","2,244","2,673","5,997",16.0%,"21,353","2,335","2,334","5,450",13.6%,"21,689","2,235","2,740","6,124",12.9%,"21,946","2,292","3,885","8,905",15.6%,"21,842","2,298","3,918","9,006",16.6%,"22,958","2,492","2,935","7,314",18.3%,"24,492","2,687","2,398","6,444",18.8%,"24,513","2,541","2,451","6,228",17.7%,"21,880","2,525","2,997","7,568",17.5%,,,,,,
"$40-79,999","20,153","3,603","2,944","10,606",32.9%,"19,458","3,315","3,538","11,725",32.1%,"20,647","3,284","3,201","10,512",28.1%,"20,614","3,367","3,530","11,886",29.7%,"21,016","3,230","3,598","11,623",24.4%,"22,940","3,575","3,454","12,348",21.6%,"21,778","3,376","3,834","12,943",23.8%,"22,470","3,414","3,219","10,987",27.4%,"22,975","3,389","3,030","10,269",30.0%,"22,196","3,088","3,082","9,517",27.1%,"21,990","3,506","3,378","11,845",27.4%,,,,,,
"$80-119,999","11,894","2,494","3,704","9,235",28.6%,"13,067","2,427","3,861","9,372",25.7%,"13,297","2,542","4,060","10,322",27.6%,"14,304","2,620","3,642","9,542",23.8%,"13,701","2,356","4,401","10,368",21.8%,"14,478","2,581","4,789","12,363",21.6%,"15,663","2,745","5,200","14,277",26.3%,"15,022","2,544","3,840","9,768",24.4%,"14,039","2,235","3,356","7,499",21.9%,"13,862","2,139","3,983","8,519",24.2%,"14,357","2,512","3,823","9,602",22.2%,,,,,,
"$120,000 and Over","11,372","1,923","4,040","7,770",24.1%,"12,148","1,956","5,290","10,348",28.4%,"14,190","2,193","4,841","10,616",28.3%,"16,095","2,477","5,329","13,199",32.9%,"15,852","2,422","8,063","19,529",41.0%,"15,577","2,390","9,863","23,575",41.2%,"16,362","2,457","7,378","18,126",33.3%,"16,016","2,348","5,101","11,975",29.9%,"14,703","2,041","4,924","10,049",29.3%,"15,080","2,068","5,266","10,888",31.0%,"16,132","2,611","5,421","14,156",32.8%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
