Table 1
Table W-8.  Metropolitan Trends and Projections for Home Improvement Spending: 2015–2017,,,,,,,,
,,,,,,,,
Metropolitan Area,2015,,,,,"Annual Percent Change
2016",,"Real Annual 
Percent Change
2017 (Projected)"
,"Number of Homeowners 
(Millions)","Average Per Owner Spending 
($)","Total 
Expenditures (Billions of $)","Discretionary Share
(%)","Replacement Share 
(%)","Existing 
Single-Family 
Home Sales", Single-Family Starts,"Total 
Expenditures"
"Atlanta, GA",1.26,"2,630",3.3,32,54,9.9,16.4,13.2
"Austin, TX",0.42,,,,,-1.1,14.1,6.5
"Baltimore, MD",0.68,,,,,-4.0,1.0,-1.5
"Birmingham, AL",0.30,,,,,6.4,11.4,8.9
"Boston, MA",1.13,"3,970",4.5,35,50,19.9,13.2,16.5
"Buffalo, NY",0.31,,,,,-5.6,-1.4,-3.5
"Charlotte, NC",0.59,,,,,11.6,10.7,11.2
"Chicago, IL",2.19,"2,930",6.4,28,59,-4.8,8.8,2.0
"Cincinnati, OH",0.55,"2,990",1.6,38,47,5.5,19.9,12.7
"Cleveland, OH",0.55,"2,960",1.6,32,48,15.7,10.2,13.0
"Columbus, OH",0.47,,,,,7.9,23.3,15.6
"Dallas-Fort Worth, TX",1.46,"3,060",4.5,23,51,1.1,4.9,3.0
"Denver, CO",0.67,"4,760",3.2,31,48,-2.5,8.8,3.2
"Detroit, MI",1.19,"2,890",3.4,30,54,-0.3,14.5,7.1
"Hartford, CT",0.31,,,,,9.6,11.1,10.4
"Houston, TX",1.36,"2,770",3.8,35,48,-6.8,-3.4,-5.1
"Indianapolis, IN",0.48,,,,,2.6,17.1,9.9
"Jacksonville, FL",0.34,,,,,2.3,20.6,11.4
"Kansas City, MO",0.52,"3,020",1.6,31,54,10.6,20.6,15.6
"Las Vegas, NV",0.38,,,,,-8.4,11.6,1.6
"Los Angeles, CA",2.02,"3,420",6.9,39,42,-2.0,7.0,2.5
"Louisville, KY",0.33,,,,,1.1,14.9,8.0
"Memphis, TN",0.29,"2,110",0.6,23,59,8.7,17.7,13.2
"Miami, FL",1.15,"2,870",3.3,42,45,-2.7,-4.4,-3.6
"Milwaukee, WI",0.38,"3,080",1.2,32,56,25.2,24.7,25.0
"Minneapolis, MN",0.93,,,,,13.2,20.1,16.7
"Nashville, TN",0.45,,,,,6.2,12.9,9.5
"New Orleans, LA",0.30,"2,530",0.8,28,49,3.7,20.4,12.1
"New York, NY",3.65,"5,340",19.5,36,47,3.9,-2.8,0.6
"Oklahoma City, OK",0.32,,,,,-2.7,-9.6,-6.2
"Orlando, FL",0.50,,,,,2.1,22.8,12.4
"Philadelphia, PA",1.50,"3,420",5.1,33,54,8.3,7.0,7.6
"Phoenix, AZ",1.02,"3,710",3.8,33,48,3.4,9.9,6.6
"Pittsburgh, PA",0.68,"3,190",2.2,30,42,-0.4,1.2,0.4
"Portland, OR",0.55,"3,950",2.2,37,44,2.5,4.2,3.4
"Providence, RI",0.37,,,,,21.5,14.3,17.9
"Raleigh, NC",0.30,"3,430",1.0,38,47,1.3,10.1,5.7
"Richmond, VA",0.31,,,,,10.1,10.1,10.1
"Riverside, CA",0.79,"2,220",1.8,28,50,-0.4,8.4,4.0
"Sacramento, CA",0.47,,,,,3.5,18.2,10.8
"Salt Lake City, UT",0.25,,,,,5.4,14.1,9.7
"San Antonio, TX",0.48,,,,,2.0,1.0,1.5
"San Diego, CA",0.58,,,,,0.5,-26.0,-12.8
"San Francisco, CA",0.90,"5,030",4.5,42,36,-4.9,2.4,-1.3
"San Jose, CA",0.37,,,,,-4.3,8.6,2.1
"Seattle, WA",0.85,"3,520",3.0,39,45,5.0,7.8,6.4
"St. Louis, MO",0.76,,,,,7.9,9.5,8.7
"Tampa, FL",0.73,,,,,3.6,13.5,8.6
"Virginia Beach, VA",0.39,,,,,8.1,-2.0,3.0
"Washington, DC",1.34,"5,230",7.0,45,45,2.3,5.3,3.8
,,,,,,,,
50 Metro Average,0.76,"3,401",3.9,34,49,4.0,9.5,6.8
,,,,,,,,
United States,74.36,"2,970",221.1,33,50,3.0,9.3,6.1
,,,,,,,,
"Notes: Data includes the largest 50 metro areas ranked by population. See Table W-1 for definitions of discretionary and replacement projects. 2015 tabulations use preliminary HUD weights. Projected spending is the average of annual rates of change in sales of existing single-family homes (as of 2016:3) and starts of privately owned single-family homes (as of 2016:4). These inputs were obtained from Moody's Economy.com and estimated by Moody's Analytics based on data from the National Association of Realtors: Real Estate Outlook; CoreLogic, Inc.; and US Census Bureau, New Residential Construction.",,,,,,,,
,,,,,,,,
"Source: JCHS tabulations of Moody’s Analytics estimates; HUD, 2015 American Housing Survey; and US Census Bureau, 2015 American Community Survey.",,,,,,,,
