Table 1
Table W-1. Homeowner Improvement Expenditures: 1995-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,,,1997,,,1999,,,2001,,,2003,,,2005,,,2007,,,2009,,,2011,,,2013,,,2015,,
,Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)","Total 
Expenditures (Millions of 
2015 $)",Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)","Total 
Expenditures (Millions of 
2015 $)",Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)","Total 
Expenditures (Millions of 
2015 $)",Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)","Total 
Expenditures (Millions of 
2015 $)",Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)","Total 
Expenditures (Millions of 
2015 $)",Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)","Total 
Expenditures (Millions of 
2015 $)",Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)","Total 
Expenditures (Millions of 
2015 $)",Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)","Total 
Expenditures (Millions of 
2015 $)",Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)","Total 
Expenditures (Millions of 
2015 $)",Homeowners Reporting Projects (000s),"Average
Expenditure
(2015 $)","Total 
Expenditures (Millions of 
2015 $)",Homeowners Reporting Projects (000s),"Average
Expenditure
($)",Total Expenditures (Millions of $)
DISCRETIONARY*,"5,866","8,594","50,412","5,287","10,587","55,976","5,381","10,406","55,994","5,396","12,369","66,744","5,421","12,987","70,396","5,927","16,161","95,793","7,120","14,688","104,577","6,392","12,194","77,940","6,113","10,014","61,216","5,980","11,043","66,036","6,513","11,088","72,217"
Kitchen Remodels,"2,033","5,069","10,303","1,811","6,222","11,265","1,727","7,466","12,893","1,832","9,425","17,262","1,928","8,259","15,922","2,197","10,811","23,753","2,417","12,274","29,673","2,028","10,510","21,312","1,876","10,189","19,118","1,816","9,912","18,004","2,370","10,237","24,262"
Minor ,"1,670","2,098","3,505","1,456","2,117","3,083","1,179","2,781","3,277","1,145","2,676","3,064","1,283","2,319","2,975","1,341","2,669","3,580","1,350","2,955","3,988","1,149","2,735","3,142","1,121","3,457","3,874","1,056","3,347","3,534","1,357","3,104","4,214"
Major ,447,"15,222","6,798",419,"19,518","8,182",548,"17,538","9,615",687,"20,676","14,198",645,"20,074","12,947",856,"23,570","20,173","1,068","24,051","25,685",879,"20,672","18,170",756,"20,172","15,244",761,"19,026","14,470","1,013","19,796","20,048"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Remodels,"2,263","3,055","6,914","2,105","4,102","8,636","2,077","3,811","7,915","2,213","4,381","9,697","2,263","4,358","9,863","2,496","6,236","15,567","2,788","6,106","17,026","2,547","4,924","12,540","2,500","4,935","12,338","2,453","5,066","12,425","3,274","5,879","19,252"
Minor ,"1,788","1,039","1,858","1,565","1,078","1,688","1,444","1,374","1,984","1,453","1,341","1,948","1,489","1,270","1,891","1,525","1,387","2,114","1,557","1,457","2,268","1,378","1,370","1,888","1,470","1,611","2,368","1,351","1,630","2,202","1,715","1,496","2,566"
Major ,516,"9,796","5,056",562,"12,369","6,948",633,"9,372","5,930",761,"10,185","7,750",774,"10,301","7,972",972,"13,847","13,453","1,232","11,983","14,758","1,168","9,120","10,652","1,030","9,679","9,970","1,102","9,276","10,223","1,560","10,699","16,686"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
